ROR	parent	child	short_name	canonical_name	Ringgold_id	alt_name	alt_name2	ISNI	Orgref	VIAF	Wikidata	Grid	City	State	Country	URL
00te2x188		A11419	ISI Turin	Institute for Scientific Interchange, Italy	A1419			0000000417593658	33689352	144088473	Q1650851	grid.418750.f	Turin		Italy	http://www.isi.it
0485yr844		A11420	Bellatrix Ast Obs	Bellatrix Astronomical Observatory, Italy	A1420											
01esc8r67		A11430	Hellenic Mil Ac	Hellenic Military Academy, Greece	A1430			0000000406229041	9855862		Q3564659	grid.465918.7	Voula		Greece	http://www.sse.gr
05xjkag81		A11433	Cyprus Coll	Cyprus College, Nicosia	A1433			0000000406091185				grid.462073.4	Nicosia		Cyprus	
05qze6v15		A11441	Odessa Natl Mar U	Odessa National Maritime University, Ukraine	A1441			0000000094525027				grid.49528.32	Odesa		Ukraine	
021036w13		A11451	Belarus St U	Belarus State University, Minsk	A1451			000000011092255X	482911	305139140	Q2418908	grid.17678.3f	Minsk		Belarus	http://www.bsu.by
		A11453	Ast Geod Soc Minsk	Astronomical Geodesical Society of Minsk, Belurus	A1453											
02b6gy972		A11458	Samarkand St U	Samarkand State University, Uzbekistan	A1458			0000000109425708	43596295		Q4406337	grid.77443.33	Samarkand		Uzbekistan	http://www.samdu.uz
		A11466	EAAS	Eurasian Astronomical Society, Moscow, Russia	A1466											
		A11468	Khrunichev Sp Ctr	Khrunichev State Research and Production Space Center, Moscow, Russia	A1468											
0553df340		A11469	Korolev Energia	Korolev Energia Space Rocket Corporation, Moscow, Russia	A1469			0000000460878165				grid.473476.5	Korolev		Russia	
		A11470	SCSE Moscow	State Committee of Standards, Moscow, Russia	A1470											
		A11471	CAO Dolgoprudnyi	Central Aerological Observatory, Dolgoprudnyi, Russia	A1471											
		A11472	Rostov St Ped U	Rostov State Pedagogical University, Russia	A1472											
		A11484	AdW Potsdam	German Academy of Sciences, Potsdam	A1484											
		A11487	IMO	International Meteor Organization	A1487											
		A11489	Archenhold Obs	Archenhold Observatory, Berlin, Germany	A1489											
		A11490	BAV	West German Variable Star Observers	A1490											
03jbf6q27		A11491	Max Born Inst	Max Born Institute for Nonlinear Optics, Berlin, Germany	A1491			0000000085103594	47000261	122843787		grid.419569.6	Berlin		Germany	
		A11508	M Adrian Obs	Michael Adrian Observatory, Germany	A1508											
02bykax26		A11517	Geo Surv Iran	Geological Survey of Iran	A1517			000000012243211X				grid.484159.5	Tehran		Iran	
		A11518	ISRC Baghdad	Iranian Space Research Center, Baghdad, Iran	A1518											
		A11519	Nepal Ast Soc	Nepal Astronomical Society	A1519											
		A11521	PAGASA	Philippine Atmospheric Geophysical and Astronomical Services Administration	A1521											
		A11524	CVGHM	Center for Volcanology and Geohazards, Indonesia	A1524											
		A11525	BAKOSURTANAL	BAKOSURTANAL, Indonesia	A1525											
01td4p294		A11534	ThEP	Thailand Center of Excellence in Physics	A1534											
		A11535	INST	VATLY Institute for Nuclear Science and Technology, Vietnam	A1535											
		A11543	Nikola Tesla U	Nikola Tesla University, Serbia	A1543											
		A11546	Assam Sci Soc	Assam Science Society, India	A1546											
		A11548	Gov New Sci Coll	Government New Science College, India	A1548											
		A11550	IUAC New Delhi	Inter Accelerator Science Center, New Delhi, India	A1550											
		A11559	Rad Res Lab Korea	Radio Research Laboratory, Korea	A1559											
		A11561	Korea Ast Obs	Korea Astronomy Observatory	A1561											
03ha3x766		A11573	Beijing Plan	Beijing Planetarium, China	A1573											
		A11577	Var Star Obs League	Variable Star Observers League of Japan	A1577											
		A11598	Kobe Sci Mus	Kobe Science Museum, Japan	A1598											
003vha698		A11615	Japan SpGuard Ass	Japan Spaceguard Association	A1615											
		A11630	JSUP	Japan Space Utilization Promotion Center	A1630											
02dwzmz76		A11640	Gunma Ast Obs	Gunma Astronomical Observatory, Japan	A1640			0000000404786303				grid.440577.5	Takayama		Japan	
		A11643	Toyoma Sci Mus	Toyoma Science Museum, Japan	A1643											
		A11644	GRI Osaka	Geo Research Institute, Osaka, Japan	A1644											
		A11645	Osaka Sci Mus	Osaka Science Museum, Osaka, Japan	A1645											
		A11646	ALPO	Association for Lunar and Planetary Observers, Japan	A1646											
		A11647	Misato Ast Obs	Misato Astronomical Observatory, Japan	A1647											
		A11648	Hamanowa Ast Obs	Hamanowa Astronomical Observatory, Japan	A1648											
		A11649	Itagaki Ast Obs	Itagaki Astronomical Observatory, Japan	A1649											
		A11654	Ryl Ast Soc NZ	Royal Astronomical Society of New Zealand	A1654											
		A11655	DSIR NZ	Department of Scientific and Industrial Research, New Zealand	A1655											
		A11656	Carter Obs	Carter Observatory, New Zealand	A1656											
		A11657	Auckland Obs	Auckland Observatory, New Zealand	A1657											
		A11664	Austr At Ener Comm	Australian Atomic Energy Commission	A1664											
053sksp51		A11678	Perth Obs	Perth Observatory, Australia	A1678											
		A11680	Sydney Obs Mus	Sydney Observatory Museum, Australia	A1680											
027e1wk64		A11681	Hunters Hill Obs	Hunters Hill Observatory, Australia	A1681											
		A11682	AGSO	Australian Geological Survey Organization	A1682											
01177pa98		A11683	Mars Soc	Mars Society, Australia	A1683											
		A11684	Austr Bur Min Res	Australian Bureau of Mineral Resources	A1684											
02zv4ka60		A11685	Austr Mus Sydney	Australian Museum Sydney	A1685			0000000404708815	840646		Q769416	grid.438303.f	Sydney	New South Wales	Australia	http://australianmuseum.net.au
01wtjj434		A11690	SKA	Square Kilometre Array, South Africa	A1690			0000000405699009				grid.452213.3	Johannesburg		South Africa	
		A11696	IRGM Cameroon	Center for Hydrologic Research, Cameroon	A1696											
		A11697	MVO BWI	Montserrat Volcano Observatory, BWI	A1697											
		A11699	INETER	National Institute for Territorial Studies, Nicaragua	A1699											
		A11700	Supernova	Supernova Ltd, British Virgin Islands	A1700											
		A11709	Rosario Plan Ast Obs	Rosario Planetarium and Astronomical Observatory, Argentina	A1709											
		A11716	SPACE San Pedro	San Pedro de Atacama Celestial Explorations, Chile	A1716											
04vhk9f59		A11739	Armagh Obs	Armagh Observatory, Ireland	A1739			0000000107243660	1280789		Q676709	grid.422885.1	Armagh	Northern Ireland	United Kingdom	http://star.arm.ac.uk
		A11750	Can Ctr Rem Sen	Canadian Center for Remote Sensing	A1750											
		A11751	CERCA	Canadian Emergency Response Contractors Alliance	A1751											
		A11752	SNOLAB	Sudbury Neutrino Laboratory, Canada	A1752											
		A11756	Scot U Res React Ctr	Scottish Universities Research and Reactor Center	A1756											
00kd5se19		A11786	NIT Nagano	National Institute of Technology, Nagano College, Japan	A1786			0000000091751600				grid.450292.8	Nagano		Japan	
0069kqw53		A11800	ERIM	Environmental Research Institute of Michigan	A1800											
		A11804	AS&E	American Science and Engineering, Cambridge, Massachusetts	A1804											
		A11810	Interferometrics	Interferometrics, Inc., Herndon, Virginia	A1810											
		A11811	Comp Phy Inc	Computational Physics, Inc., Springfield, Virginia	A1811											
		A11812	Eureka Sci	Eureka Scientific, Oakland, California	A1812											
		A13003	FINCA	Finnish Center for Astronomy	A3003											
0484k9q63		A13005	Swedish Sp	Swedish Space Corporation	A3005			000000012110558X				grid.425342.6	Solna		Sweden	
		A13022	Uppsala Iono Obs	Uppsala Ionospheric Observatory, Sweden	A3022											
		A13023	Icarus Res	Icarus Research Inc., Bethesda, Maryland	A3023											
01rqa9952		A13024	GATS	GATS Inc.	A3024											
		A13025	JPRS	Joint Publications Research Institute, Virginia	A3025											
019xfaf13		A13026	ASP	Astronomical Society of the Pacific	A3026			0000000109446525				grid.422996.2	San Francisco	California	United States	
		A13027	MPDS	Materials Phases Data System, Villars, Switzerland	A3027											
0429kgt51		A13028	GII	Geophysical Institute of Israel	A3028			0000000121144562				grid.438374.f	Lod		Israel	
		A13029	NILOP	National Institute of Lasers and Optronics, Islamabad, Pakistan	A3029											
		A13031	Fermi Res Ctr	Enrico Fermi Research Center, Rome, Italy	A3031											
		A13040	INIC	Instituto Nacional de Investigacao Cientifica, Lisbon, Portugal	A3040											
		A13045	ARC	Applied Research Corporation, Landover, Maryland	A3045											
		A13046	ADNET	ADNET Systems Inc., Greenbelt, Maryland	A3046											
		A13047	EITI	Emergent Information Technology Inc., Greenbelt, Maryland	A3047											
02w95hf30		A13052	Hyd Svc Israel	Hydrological Service, Israel	A3052											
		A13055	ORSTOM	Office of Scientific and Technical Research Overseas, France	A3055											
		A13067	Laser Lab	Laser Lab eV, Gottingen, Germany	A3067											
		A13070	SCCSP Ukrain	Scientific Consulting Company Structure-Properties, Ukraine	A3070											
0320rar10		A13071	MRI Global	Midwest Research Institute, Colorado	A3071											
04svrh266		A13072	NINT	Northwest Institute of Nuclear Technology, China	A3072											
		A13074	COMSAT	Communications Satellite Corporation	A3074											
010ezwq65		A13078	Praxis	Praxis, Inc., Alexandria, Virginia	A3078			0000000111089520				grid.280954.2	Alexandria	Virginia	United States	
		A13079	Artep	Artep, Inc., Washington, DC	A3079											
039sp3459		A13080	Yamaguchi Jr Coll	Yamaguchi Junior College, Japan	A3080											
		A13084	Flatiron Inst	Flatiron Institute, New York	A3084											
046a9q865		A11146	SSI	Space Science Institute, Colorado	A1146											
046a9q865	A11146	A11147	CICLOPS	Space Science Institute, Cassini Imaging Central Laboratory for Operations, Boulder, Colorado	A1147											
00kztq733		A11344	INI	Isaac Newton Institute, Chile	A1344											
00kztq733	A11344	A11343	Belgrade	Isaac Newton Institute of Chile, Belgrade	A1343											
00kztq733	A11344	A11440	Crimean Branch	Isaac Newton Institute of Chile, Crimean Branch	A1440											
00kztq733	A11344	A11462	Russia	Isaac Newton Institute of Chile, Russia	A1462											
04m5j1k67		A00001	Aalborg U	Aalborg University, Denmark	1004	Aalborg Universitet	Aalborg University	000000010742471X	382707	138923714	Q601956	grid.5117.2	Aalborg		Denmark	http://www.en.aau.dk
01aj84f44		A00002	Aarhus U	Aarhus University, Denmark	1006	Aarhus Universitet	Aarhus Universitet	0000000119562722	401280	89586342	Q924265	grid.7048.b	Aarhus		Denmark	http://www.au.dk/en
01aj84f44	A00002	A00003	Inst Phy Ast	Aarhus University, Institute for Physics and Astronomy	123250	Aarhus Universitet Institut for Fysik og Astronomi	Aarhus Universitet Institut for Videnskabsstudier	0000000403978573								
01aj84f44	A00002	A00004	Inst Geos	Aarhus University, Institute for Geoscience	86966											
04h6w7946		A00005	U Fraser Vall	University College of the Fraser Valley, Canada	1011	University of the Fraser Valley	Fraser Valley College	000000008723466X				grid.292498.c	Abbotsford	British Columbia	Canada	
04f0qj703		A00006	Robert Gordon U	Robert Gordon University, UK	1018	Robert Gordon University	Robert Gordon University Garthdee Campus	0000000123241681	381864	138826874	Q1788342	grid.59490.31	Aberdeen		United Kingdom	http://www.rgu.ac.uk
016476m91		A00007	U Aberdeen	University of Aberdeen, UK	1019	University of Aberdeen	King's College Campus	0000000419367291	213135	132450109	Q270532	grid.7107.1	Aberdeen		United Kingdom	http://www.abdn.ac.uk
026efkc57	A00007	A11755	SUPA	Scottish Universities Physics Alliance	A1755											
		A00008	US Army	United States Army	1023	US Department of the Army	Department of the Army	0000000404787285								
05wk0m864	A00008	A00009	CRREL	Cold Regions Research and Engineering Laboratory	102695	US Army Corps of Engineers Cold Regions Research and Engineering Laboratory		0000000406316305								
	A00008	A00010	ARL Monmouth	Army Research Laboratory, Fort Monmouth, New Jersey	111060	US Army Communications-Electronic Command		0000000403846837								
011hc8f90	A00008	A00011	Res Off	U.S. Army Research Office, Research Triangle Park, North Carolina	172344	US Army Research Office		0000000094672895	47000985							
	A00008	A00012	White Sands	U.S. Army White Sands Missile Range, New Mexico	246226	White Sands Missile Range	WSMR	0000000405172805								
