ROR	parent	child	short_name	canonical_name	Ringgold_id	alt_name	alt_name2	ISNI	Orgref	VIAF	Wikidata	Grid	City	State	Country	URL
01srpnj69		A01423	Wellesley Coll	Wellesley College, Massachusetts	8456	Wellesley College		0000000419369561	175984	122282515	Q49205	grid.268091.4	Wellesley	Massachusetts	United States	http://www.wellesley.edu
01srpnj69	A01423	A01424	Dep Ast	Wellesley College, Department of Astronomy	317284	Wellesley College Department of Astronomy		0000000405647452								
04hxcaz34		A01425	NIWA	National Institute of Water and Atmospheric Research, New Zealand	8486	National Institute of Water and Atmospheric Research	NIWA	0000000092525808	2902992	157276339	Q1466498	grid.419676.b	Hamilton		New Zealand	http://www.niwa.co.nz
0040r6f76		A01426	Victoria U Well	Victoria University of Wellington, New Zealand	8491	Victoria University of Wellington	Te Pataka Korero	0000000122923111	32776	140376164	Q1150437	grid.267827.e	Wellington	Wellington	New Zealand	http://www.victoria.ac.nz
0040r6f76	A01426	A01427	Sch Chem Phy Sci	Victoria University of Wellington, School of Chemical and Physical Sciences	428627	Victoria University of Wellington School of Chemical and Physical Sciences		0000000449052936								
0040r6f76	A01426	A11650	Inst Geop	Victoria University of Wellington, Institute of Geophysics	A1650											
0040r6f76	A01426	A11651	Dep Phy	Victoria University of Wellington, Department of Physics	A1651											
03v2r6x37		A01428	Bigelow Lab Oc Sci	Bigelow Laboratory for Ocean Sciences, Maine	8506	Bigelow Laboratory for Ocean Sciences	Fisheries Research Lab	0000000095164913				grid.296275.d	Boothbay	Maine	United States	
0053n5071		A01429	W Chester U PA	West Chester University of Pennsylvania	8510	West Chester University of Pennsylvania	WCU	0000000107012416	1357813		Q3443893	grid.268132.c	West Chester	Pennsylvania	United States	http://www.wcupa.edu
034gcgd08		A01430	U Hartford	University of Hartford, Connecticut	8517	University of Hartford		0000000103529100	498528	154723919	Q747053	grid.266419.e	West Hartford	Connecticut	United States	http://www.hartford.edu
05p8z3f47		A01431	Purdue U	Purdue University, Indiana	8522	Purdue University System		0000000404841472				grid.411031.6	West Lafayette	Indiana	United States	
05gxnyn08	A01431	A01432	IUPUI	Indiana University Purdue University at Indianapolis	10668	Indiana University Purdue University at Indianapolis	IUPUI	0000000122873919	482161		Q1433199	grid.257413.6	Indianapolis	Indiana	United States	https://www.iupui.edu
05p8z3f47	A01431	A11096	Dep Phy	Purdue University, Department of Physics	A1096											
05p8z3f47	A01431	A11097	Dep Ear Atm Sci	Purdue University, Department of Earth and Atmospheric Sciences	A1097											
01jepya76		A01433	W Point	U.S. Military Academy West Point, New York	8531	US Military Academy	United States Military Academy	0000000122872270	32173	133396889	Q9219	grid.419884.8	West Point	New York	United States	http://www.westpoint.edu
05pjd6b26		A01434	Westfield St U	Westfield State University, Massachusetts	8536	Westfield State University	Westfield State College	000000010325950X	3079847	296625875	Q14438080	grid.422643.5	Westfield	Massachusetts	United States	http://westfield.ma.edu
01t77y753		A01435	Regis Coll	Regis College, Massachusetts	8544	Regis College		0000000404844091	4173525		Q7309324	grid.421431.1	Weston	Massachusetts	United States	http://www.regiscollege.edu
04rn3ph18		A01436	Kodak	Eastman Kodak Corporation, New York	8551	Eastman Kodak Co	Kodak	0000000404844868	57627		Q486269	grid.418652.c	Rochester	New York	United States	http://www.kodak.com/corp/default.htm
0581k0452		A01437	Wheaton Coll IL	Wheaton College, Illinois	8560	Wheaton College		000000040484581X	341022		Q747179	grid.422662.6	Wheaton	Illinois	United States	http://www.wheaton.edu
02z310y44		A01438	Wheeling Jesuit U	Wheeling Jesuit University, West Virginia	8562	Wheeling Jesuit University	Wheeling Jesuit College	0000000404846003	431859	142105058	Q2566683	grid.268232.f	Wheeling	West Virginia	United States	http://www.wju.edu
		A01439	William Mary Coll	William and Mary College, Virginia	8604	College of William and Mary	W&M	0000000419369588								
01rsgws32		A01440	Lycoming Coll	Lycoming College	8606	Lycoming College	Williamsport Dickinson Junior College	0000000093368621	1042108	137179418	Q6707331	grid.419370.8	Williamsport	Pennsylvania	United States	http://www.lycoming.edu
04avkmd49		A01441	Williams Coll	Williams College	8609	Williams College		0000000122849898	34105	124321679	Q49166	grid.268275.c	Williamstown	Massachusetts	United States	http://www.williams.edu
04avkmd49	A01441	A01442	Dep Ast	Williams College, Department of Astronomy	226622	Williams College Department of Astronomy		0000000404531925								
04avkmd49	A01441	A01443	Weston Obs	Williams College, Weston Observatory	226623	Williams College Hopkins Observatory		0000000404531992								
017c6at71		A01444	UNC Asheville	University of North Carolina, Asheville	8620	University of North Carolina at Asheville	UNC Asheville	0000000102917689	166156	153659807	Q7895940	grid.266856.9	Asheville	North Carolina	United States	http://www.unca.edu
00r59k631		A01445	Mentor	Mentor Graphics Corporation	8624	Mentor Graphics Corp		0000000404853297				grid.421266.5	Wilsonville	Oregon	United States	
01gw3d370		A01446	U Windsor	University of Windsor, Canada	8637	University of Windsor		0000000419369596	342733	146467474	Q2065769	grid.267455.7	Windsor	Ontario	Canada	http://www.uwindsor.ca
02gfys938		A01447	U Manitoba	University of Manitoba, Canada	8664	University of Manitoba		0000000419369609	32099		Q1191833	grid.21613.37	Winnipeg	Manitoba	Canada	http://www.umanitoba.ca
02gfys938	A01447	A11745	Dep Phy Ast	University of Manitoba, Department of Physics and Astronomy	A1745											
02gdzyx04		A01448	U Winnipeg	University of Winnipeg, Canada	8665	University of Winnipeg		0000000117034731	587404	142773604	Q472167	grid.267457.5	Winnipeg	Manitoba	Canada	https://www.uwinnipeg.ca
04v3sec91		A01449	St Marys U MN	Saint Mary's University, Minnesota	8668	Saint Mary's University of Minnesota	SMU	000000009497528X	1279026	139898202	Q2212976	grid.262981.6	Winona	Minnesota	United States	http://www.smumn.edu
0207ad724		A01450	Wake Forest U	Wake Forest University	8676	Wake Forest University	WFU	0000000121853318	239327	262141826	Q392667	grid.241167.7	Winston-Salem	North Carolina	United States	http://www.wfu.edu
009vh5d61		A01451	Rollins Coll	Rollins College	8678	Rollins College		0000000419369625	494448		Q2164222	grid.419254.f	Winter Park	Florida	United States	http://www.rollins.edu
00c4e7y75		A01452	Wichita St U	Wichita State University, Kansas	8683	Wichita State University	WSU	000000009263262X	253978	135909747	Q429561	grid.268246.c	Wichita	Kansas	United States	http://www.wichita.edu
00839we02		A01453	Acadia U	Acadia University, Canada	8689	Acadia University		0000000419369633	2236	143700755	Q337382	grid.411959.1	Wolfville	Nova Scotia	Canada	http://www.acadiau.ca
00jtmb277		A01454	U Wollongong	University of Wollongong, Australia	8691	University of Wollongong	University of Wollongong Faculty of Health and Behavioural Sciences	000000040486528X	461935	153684953	Q1350021	grid.1007.6	Wollongong	New South Wales	Australia	http://www.uow.edu.au
029zqs055		A01455	Coll Wooster	College of Wooster, Ohio	8704	College of Wooster		0000000122223895	663514	264243487	Q1109093	grid.254509.f	Wooster	Ohio	United States	http://www.wooster.edu
04123ky43		A01456	Clark U	Clark University, Massachusetts	8716	Clark University		0000000404868069	274804	160195698	Q1095773	grid.254277.1	Worcester	Massachusetts	United States	http://www.clarku.edu
05dwp6855		A01457	Coll Holy Cross	College of the Holy Cross, Massachusetts	8717	College of the Holy Cross		0000000121741885	461012	292741985	Q2620177	grid.254514.3	Worcester	Massachusetts	United States	http://www.holycross.edu
05ejpqr48		A01458	WPI	Worcester Polytechnic Institute, Massachusetts	8718	Worcester Polytechnic Institute	WPI	0000000119570327	288123	140493945	Q195046	grid.268323.e	Worcester	Massachusetts	United States	http://www.wpi.edu
04j8de466		A01459	Worcester St U	Worcester State University, Massachusetts	8719	Worcester State University	Worcester State College	0000000092280118	754469	254041450	Q3446068	grid.268324.9	Worcester	Massachusetts	United States	http://www.worcester.edu
04m01e293		A01460	U York	University of York, UK	8748			0000000419369668	155637	145108120	Q967165	grid.5685.e	York	York	United Kingdom	http://york.ac.uk
04m01e293	A01460	A01461	Dep Phy	University of York, Department of Physics	152543	University of York Department of Physics		0000000403734296								
02ssn3c97		A01462	York Coll	York College, Pennsylvania	8752			000000010159358X	1287776	151365280	Q8055408	grid.433833.c	York	Pennsylvania	United States	http://www.ycp.edu
038zf2n28		A01463	Youngstown St U	Youngstown State University, Ohio	8756	Youngstown State University	YSU	0000000093774427	530869	137793586	Q1783191	grid.268467.9	Youngstown	Ohio	United States	http://www.ysu.edu
02ehshm78		A01464	Estrn MI U	Eastern Michigan University	8759	Eastern Michigan University	EMU	0000000106743006	161726	156484658	Q1278221	grid.255399.1	Ypsilanti	Michigan	United States	http://www.emich.edu
		A01465	UCLA	University of California, Los Angeles	8783	University of California Los Angeles	UC Los Angeles	000000040464871X								
	A01465	A01466	Dep Atm Oc Sci	University of California, Los Angeles, Department of Atmospheric and Oceanic Sciences	158085	University of California Los Angeles Department of Atmospheric and Oceanic Sciences		000000040409979X								
	A01465	A01467	IGPP	University of California, Los Angeles, Institute of Geophysics and Planetary Physics	158087	University of California Los Angeles Department of Earth and Space Sciences		0000000404099968								
	A01465	A01468	Dep Phy Ast	University of California, Los Angeles, Department of Physics and Astronomy	158089	University of California Los Angeles Department of Physics and Astronomy		0000000404100113								
	A01465	A01469	Dep Elec Eng	University of California, Los Angeles, Department of Electrical Engineering	307829	University of California Los Angeles Department of Electrical Engineering		000000040563319X								
0168r3w48		A01470	UCSD	University of California, San Diego	8784	University of California San Diego	UC San Diego	0000000121074242				grid.266100.3	San Diego	California		
0168r3w48	A01470	A01471	Dep Comp Sci	University of California, San Diego, Department of Computer Science and Engineering	140242	University of California San Diego Jacobs School of Engineering	UCSD Jacobs School of Engineering	0000000404431174								
0168r3w48	A01470	A01472	Dep Chem	University of California, San Diego, Department of Chemistry	209674	University of California San Diego Department of Chemistry and Biochemistry		0000000404717703								
04v7hvq31	A01470	A01473	Scripps	University of California, San Diego, Scripps Institution of Oceanography	70015	University of California San Diego Scripps Institution of Oceanography	UCSD SIO	0000000406272787				grid.217200.6	La Jolla	California	United States	
0168r3w48	A01470	A11196	CASS	University of California, San Diego, Center for Astrophysics and Space Science	A1196											
0168r3w48	A01470	A11197	Dep Phy	University of California, San Diego, Department of Physics	A1197											
043mz5j54		A01474	UCSF	University of California, San Francisco	8785	University of California San Francisco	UC San Francisco	0000000122976811				grid.266102.1	San Francisco	California		
02t274463		A01475	UCSB	University of California, Santa Barbara	8786	University of California Santa Barbara	UC Santa Barbara	0000000419369676				grid.133342.4	Santa Barbara	California		
02t274463	A01475	A01476	Dep Ear Sci	University of California, Santa Barbara, Department of Earth Science	166608	University of California Santa Barbara Department of Earth Science		0000000403952664								
02t274463	A01475	A11195	Dep Phy Ast	University of California, Santa Barbara, Department of Physics and Astronomy	A1195											
02ar7h206	A01475	A11228	Las Cumbres Obs	Las Cumbres Observatory Global Telescope	A1228			0000000460232073				grid.436159.c	Goleta	California	United States	
03s65by71		A01477	UCSC	University of California, Santa Cruz	8787	University of California Santa Cruz	UC Santa Cruz	0000000107406917				grid.205975.c	Santa Cruz	California		
03s65by71	A01477	A01478	Dep Ear Plan Sci	University of California, Santa Cruz, Department of Earth and Planetary Sciences	207028	University of California Santa Cruz Department of Earth and Planetary Sciences		0000000404601161								
03s65by71	A01477	A11192	Dep Ast Astrop	University of California, Santa Cruz, Department of Astronomy and Astrophysics	A1192											
03s65by71	A01477	A11193	Dep Phy	University of California, Santa Cruz, Department of Physics	A1193											
03s65by71	A01477	A11198	SCIPPS	University of California, Santa Cruz, Institute for Particle Physics	A1198			0000000449036004								
04gyf1771		A01479	UCI	University of California, Irvine	8788	University of California Irvine	UC Irvine	0000000106687243				grid.266093.8	Irvine	California		
04gyf1771	A01479	A11194	Dep Phy Ast	University of California, Irvine, Department of Physics and Astronomy	A1194											
04gyf1771	A01479	A13060	Dep Ear Sys Sci	University of California, Irvine, Department of Earth System Science	A3060											
05rrcem69		A01480	UCD	University of California, Davis	8789	University of California Davis	UC Davis	0000000419369684				grid.27860.3b	Davis	California		
05rrcem69	A01480	A01481	Dep Chem	University of California, Davis, Department of Chemistry	173250	University of California Davis Department of Chemistry		0000000403714017								
05rrcem69	A01480	A01482	Dep Ear Plan Sci	University of California, Davis, Department of Earth and Planetary Sciences	198844	University of California Davis Department of Earth and Planetary Sciences		0000000404757158								
05rrcem69	A01480	A01483	Dep Land Air Water	University of California, Davis, Department of Land Air and Water Resources	240446	University of California Davis Department of Land Air and Water Resources		000000040456847X								
05rrcem69	A01480	A01484	Dep Phy	University of California, Davis, Department of Physics	240464	University of California Davis Department of Physics		0000000404758564								
05rrcem69	A01480	A01485	Bodega Mar Lab	University of California, Davis, Bodega Marine Laboratory	308006	University of California Davis Bodega Marine Laboratory	UCD BML	0000000405645588								
03nawhv43		A01486	UCR	University of California, Riverside	8790	University of California Riverside	UC Riverside	0000000122221582				grid.266097.c	Riverside	California		
03nawhv43	A01486	A11191	Dep Phy Ast	University of California, Riverside, Department of Physics and Astronomy	A1191											
03nawhv43	A01486	A11199	Dep Ear Sci	University of California, Riverside, Department of Earth Sciences	A1199											
00shsf120		A01487	Natl U Ireland	National University of Ireland	8796	National University of Ireland	NUI	000000040488240X	277548	157052388	Q1860208	grid.9344.a	Dublin		Ireland	http://www.nui.ie
03265fv13	A01487	A01488	U Coll Cork	University College Cork, Ireland	8795	University College Cork National University of Ireland	Cork University	0000000123318773	738094		Q1574185	grid.7872.a	Cork		Ireland	http://www.ucc.ie
05m7pjf47	A01487	A01489	U Coll Dublin	University College Dublin, Ireland	8797	University College Dublin	UCD	0000000107682743	41537643	155872427	Q1068258	grid.7886.1	Dublin	Dublin	Ireland	http://www.ucd.ie
048nfjm95	A01487	A01490	Maynooth	National University of Ireland Maynooth	8798	National University of Ireland Maynooth	Maynooth University	0000000093319029	436773	137100769	Q2601879	grid.95004.38		Maynooth	Kildare	http://www.maynoothuniversity.ie
03bea9k73	A01487	A01491	Galway	National University of Ireland Galway	8799	National University of Ireland - Galway	NUI Galway	0000000404880789	172910	263702271	Q644478	grid.6142.1		Galway	Ireland	http://www.oegaillimh.ie
03ypxwh20		A01492	Waterford Inst Tech	Waterford Institute of Technology, Ireland	8807	Waterford Institute of Technology		0000000106807997	363537	123537989	Q7974025	grid.24349.38	Waterford		Ireland	http://www.wit.ie
00a0n9e72		A01493	U Limerick	University of Limerick, Ireland	8808	University of Limerick	National Institute for Higher Education	0000000419369692	258857	147883643	Q573954	grid.10049.3c	Limerick		Ireland	http://www.ul.ie
02tyrky19		A01494	U Dublin Trinity Coll	University of Dublin Trinity College, Ireland	8809	University of Dublin Trinity College	TCD	0000000419369705				grid.8217.c	Dublin	Dublin	Ireland	
024j9sx72		A01495	GMIT	Galway Mayo Institute of Technology, Ireland	8816	Galway Mayo Institute of Technology	GMIT	0000000104148879	620235	155789283	Q5519456	grid.418104.8	Galway		Ireland	http://gmit.ie
04a1a1e81		A01496	Dublin City U	Dublin City University, Ireland	8818	Dublin City University	DCU	0000000102380260	390702	138021809	Q1202897	grid.15596.3e	Dublin		Ireland	http://www.dcu.ie
029nmgq20		A01497	Dublin Inst Tech	Dublin Institute of Technology, Ireland	8819	Dublin Institute of Technology		0000000107203335	480644	173084038	Q3098071	grid.33695.3a	Dublin		Ireland	http://www.dit.ie
051sx6d27		A01498	Dublin IAS	Dublin Institute for Advanced Studies, Ireland	8820	Dublin Institute for Advanced Studies	DIAS	0000000109454402	1222691	152030727	Q3151953	grid.55940.3d	Dublin		Ireland	http://www.dias.ie
051sx6d27	A01498	A01499	Sch Csmc Phy	Dublin Institute for Advanced Studies, School of Cosmic Physics	138761	Dublin Institute of Advanced Studies School of Cosmic Physics		0000000404329153								
051sx6d27	A01498	A01500	Theo Phy	Dublin Institute for Advanced Studies, Theoretical Physics	311644	Dublin Institute for Advanced Studies School of Theoretical Physics	Institiúid Ard-Léinn Bhaile Átha Cliath Scoil na Fisice Teoraiciúla	0000000417819864								
051sx6d27	A01498	A01501	Geop	Dublin Institute for Advanced Studies, Geophysics	371196	Dublin Institute of Advanced Studies Geophysics	Institiúid Ard-Léinn Bhaile Átha Cliath Geoifisic	0000000417907522								
051sx6d27	A01498	A01502	Ast Astrop	Dublin Institute for Advanced Studies, Astronomy and Astrophysics	374585	Dublin Institute of Advanced Studies Astronomy and Astrophysics		000000040606470X								
051sx6d27	A01498	A01503	Dunsink Obs	Dunsink Observatory	82905	Dublin Institute for Advanced Studies Dunsink Observatory		0000000418035535								
012qxnm65		A01504	Cork Inst Tech	Cork Institute of Technology, Ireland	8822	Cork Institute of Technology	Regional Technical College Cork	000000010693825X	542603	263710181	Q3778182	grid.47244.31	Cork	Cork	Ireland	http://www.cit.ie
		A01505	St Patricks Coll	Saint Patricks College Maynooth, Ireland	8849	Saint Patrick's College Maynooth	National Seminary for Ireland	0000000404885715								
04tsk2644		A01506	Ruhr U Bochum	Ruhr University, Bochum, Germany	9142			000000040490981X	246889	133248582	Q309948	grid.5570.7	Bochum	Nordrhein-Westfalen	Germany	https://www.ruhr-uni-bochum.de/index_en.htm
04tsk2644	A01506	A01507	Dep Phy Ast	Ruhr University, Bochum, Department of Physics and Astronomy	153606											
04tsk2644	A01506	A01508	Dep Geop	Ruhr University, Bochum, Department of Geophysics	153648											
04tsk2644	A01506	A01509	Inst Exp Phy	Ruhr University, Bochum, Institute for Experimental Physics	229942											
04tsk2644	A01506	A01510	Inst Theo Phy	Ruhr University, Bochum, Institute for Theoretical Physics	234292											
04tsk2644	A01506	A01511	Ast Inst	Ruhr University, Bochum, Astronomical Institute	54216											
038t36y30		A01512	U Heidelberg	Ruprecht-Karls University of Heidelberg, Germany	9144			0000000121904373	100649	132832201	Q151510	grid.7700.0	Heidelberg		Germany	http://www.uni-heidelberg.de/index_e.html
038t36y30	A01512	A01513	ARI	Astronomisches Rechen-Institut	54270											
038t36y30	A01512	A01514	Inst Phy	University of Heidelberg, Institute of Physics	54271											
038t36y30	A01512	A01515	Inst Geos	University of Heidelberg, Institute of Geosciences	54273											
038t36y30	A01512	A01516	Inst Theo Astrop	University of Heidelberg, Institute for Theoretical Astrophysics	54276											
038t36y30	A01512	A01517	Ast Obs	University of Heidelberg, Astronomical Observatory	54277											
038t36y30	A01512	A01518	Inst Phy Chem	University of Heidelberg, Institute of Physical Chemistry	68209	Ruprecht-Karls-Universitat Heidelberg Physikalisch-Chemisches Institut	University of Heidelberg Institute of Physical Chemistry	0000000406184859								
038t36y30	A01512	A01519	Dep Phy Ast	University of Heidelberg, Department of Physics and Astronomy	226226											
038t36y30	A01512	A01520	Kirchhoff Inst Phy	University of Heidelberg, Kirchhoff Institute for Physics	226227											
038t36y30	A01512	A01521	Inst Env Phy	University of Heidelberg, Institute of Environmental Physics	236229											
038t36y30	A01512	A01522	Ctr Ast	University of Heidelberg, Center for Astronomy	237039											
038t36y30	A01512	A01543	Hosp	University of Heidelberg Hospital	27178											
038t36y30	A01512	A11483	Inst Theo Phy	University of Heidelberg, Institute of Theoretical Physics	A1483											
01eezs655		A01523	U Regensburg	University of Regensburg, Germany	9147			0000000121905763	1789822	155608852	Q574571	grid.7727.5	Regensburg	Bayern	Germany	http://www.uni-regensburg.de/index.html.en
04vnq7t77		A01524	U Stuttgart	University of Stuttgart, Germany	9149			0000000419369713	2089384	203779742	Q122453	grid.5719.a	Stuttgart		Germany	https://www.uni-stuttgart.de/home/index.en.html
04vnq7t77	A01524	A01525	Inst Theo Phy	University of Stuttgart, Institute for Theoretical Physics	235740											
04vnq7t77	A01524	A01526	Dep Phy	University of Stuttgart, Department of Physics	235782											
04vnq7t77	A01524	A01527	Inst Sp Sci	University of Stuttgart, Institute for Space Sciences	240102											
04vnq7t77	A01524	A01528	Inst Geop	University of Stuttgart, Institute for Geophysics	357847											
04vnq7t77	A01524	A01529	Inst Geod	University of Stuttgart, Institute for Geodesy	84988											
04vnq7t77	A01524	A11501	Black Forest Obs	Black Forest Observatory	A1501											
0281dp749		A01530	Helmholtz Res Ctrs	Helmholtz Association of German Research Centers	9151	Hermann von Helmholtz-Gemeinschaft Deutscher Forschungszentren	Helmholtz Association of German Research Centres	0000000119425154	734041	153269911	Q679913	grid.211011.2	Berlin		Germany	http://www.helmholtz.de
0281dp749	A01530	A01531	DLR Braunschweig	German Aerospace Center, Braunschweig	120139											
04bwf3e34	A01530	A01532	DLR Cologne	German Aerospace Center, Cologne	14930			0000000089837915	647619	207667529	Q157332	grid.7551.6	Cologne		Germany	
0281dp749	A01530	A01533	German Sp Agcy Bonn	German Space Agency, Bonn	163162											
0281dp749	A01530	A01534	Julich	Helmholtz Research Center, Julich	249093											
0281dp749	A01530	A01535	Heidelberg	Helmholtz Research Center, Heidelberg	277411	Deutsches Krebsforschungszentrum Abteilung Tumorvirologie	German Cancer Research Centre Division of Tumor Virology	0000000405212627								
03k9qs827	A01530	A01536	Fritz Haber Inst	Max Planck Fritz Haber Institute, Berlin	28259	Fritz-Haber-Institut der Max-Planck-Gesellschaft	FHI der MPG	0000000105651775				grid.418028.7	Berlin		Germany	
01js2sh04	A01530	A01537	DESY Hamburg	DESY Deutsches Electronen-Synchrotron, Hamburg	28332	Deutsches Elektronen-Synchrotron	DESY	0000000404920453	53297		Q311801	grid.7683.a	Hamburg		Germany	http://desy.de
04z8jg394	A01530	A01538	Potsdam	Helmholtz Center for Geosciences, Potsdam	28337	Deutsches Geoforschungszentrum Potsdam	GFZ	0000000091952461				grid.23731.34	Potsdam	Brandenburg	Germany	
03qjp1d79	A01530	A01539	GKSS	Helmholtz Institute for Coastal Research	28338			0000000405413699				grid.24999.3f	Geesthacht	Schleswig-Holstein	Germany	
02k8cbn47	A01530	A01540	Darmstadt	Helmholtz Institute for Heavy Ion Research, Darmstadt	28339			0000000091274365	52137		Q703993	grid.159791.2	Darmstadt		Germany	https://www.gsi.de
0281dp749	A01530	A01541	HMI	Hahn Meitner Institute, Berlin	28340											
000h6jb29	A01530	A01542	Leipzig	Helmholtz Research Center, Leipzig	28342			0000000404923830	47002723		Q880999	grid.7492.8	Leipzig		Germany	
01zy2cs03	A01530	A01544	Dresden	Helmholtz Research Center, Dresden	28414	Helmholtz-Zentrum Dresden-Rossendorf	Forschungszentrum Dresden-Rossendorf	0000000121580612	25972348		Q883545	grid.40602.30	Dresden		Germany	
0281dp749	A01530	A01545	DLR Neustrelitz	German Aerospace Center, Neustrelitz	305200	Deutsches Fernerkundungsdatenzentrum Standort Neustrelitz	DFD Standort Neustrelitz	0000000405456584								
0281dp749	A01530	A01546	DESY Zeuthen	Deutsches Electronen-Synchrotron, Zeuthen	383259											
02aj13c28	A01530	A01547	Berlin	Helmholtz Institute for Planetary Research, Berlin	54363			0000000110903682	47000124	140817219	Q316122	grid.424048.e	Berlin		Germany	https://www.helmholtz-berlin.de/quellen/bessy/index_en.html
0281dp749	A01530	A01548	DLR Berlin	German Aerospace Center, Berlin	84547											
032e6b942	A01530	A01549	AWI Pol Mar Res	Alfred Wegener Institute for Polar and Marine Research	84597			0000000110337684	1126135	128510229	Q536656	grid.10894.34	Bremerhaven		Germany	http://www.awi.de/en
0281dp749	A01530	A01550	DLR Stuttgart	German Aerospace Center, Stuttgart	84646											
0281dp749	A01530	A01551	DLR Gottingen	German Aerospace Center, Gottingen	88767											
0281dp749	A01530	A01552	DLR Wessling	German Aerospace Center, Wessling	88789											
0281dp749	A01530	A03051	Inst Mar Res	Institute for Marine Research, Kiel	28402											
00cfam450	A01530	A11481	Munich	Helmholtz Research Center, Munich	A1481			0000000404832525				grid.4567.0	Munich		Germany	
0281dp749	A01530	A11499	DLR Bremen	German Aerospace Center, Bremen	A1499											
0281dp749	A01530	A11504	Cen Inst Ear Phy	Central Institute for Earth Physics, Jena	A1504											
0281dp749	A01530	A11505	Mainz	Helmholtz Research Center, Mainz	A1505											
01hhn8329		A01553	Max Planck	Max Planck Society for the Advancement of Science, Germany	9163			0000000121051091	614753	269476160	Q158085	grid.4372.2	Munich		Germany	http://www.mpg.de
01hhn8329	A01553	A01554	MPI Env Sci	Max-Planck-Institute for Environmental Science, Garching	233528	Max-Planck-Institut Halbleiterlabor	Max-Planck-Institut Halbleiterlabor	0000000404995404								
02dh8ja68	A01553	A01555	MPI Math	Max-Planck-Institute for Mathematics, Bonn	28264			000000040491300X	1386960		Q632667	grid.461798.5	Bonn		Germany	http://www.mpim-bonn.mpg.de
04jvemc39	A01553	A01556	MPI RadAst	Max-Planck-Institute for Radioastronomy, Bonn	28266			0000000121624478	6744853	268692178	Q543646	grid.450267.2	Bonn		Germany	http://www.mpifr-bonn.mpg.de/2169/en
02385fa51	A01553	A01557	MPI Mar MBio	Max-Planck-Institute for Marine Microbiology, Bremen	28267			0000000404913210	10418549	262052712	Q876880	grid.419529.2	Bremen		Germany	http://www.mpi-bremen.de/en
01bf9rw71	A01553	A01558	MPI Phy Cmplx Sys	Max-Planck-Institute for Physics of Complex Systems, Dresden	28269			0000000121543117	27440678	187588898	Q6795124	grid.419560.f	Dresden		Germany	
01c997669	A01553	A01559	MPI Chem Phy Solids	Max-Planck-Institute for Chemical Physics of Solids, Dresden	28270			000000040491351X	47002332			grid.419507.e	Dresden		Germany	
02panr271	A01553	A01560	MPI Biophy	Max-Planck-Institute for Biophysics, Frankfurt	28273			0000000110189466	6683117		Q255876	grid.419494.5	Frankfurt am Main		Germany	http://www.mpibp-frankfurt.mpg.de
017qcv467	A01553	A01561	MPIA Garching	Max-Planck-Institute for Astrophysics, Garching	28278			0000000123235134	614794	129038308	Q48861	grid.452596.9	Garching bei München		Germany	http://www.mpa-garching.mpg.de
00e4bwe12	A01553	A01562	MPIE	Max-Planck-Institute for Extraterrestrial Physics, Garching	28279			0000000110192104	614798	159740777	Q822371	grid.450265.0	Garching bei München		Germany	
03taest98	A01553	A01563	MPI Plasma Phy	Max-Planck-Institute for Plasma Physics, Garching	28280			0000000406480340				grid.461804.f	Garching bei München		Germany	
01vekys64	A01553	A01564	MPI Quant Opt	Max-Planck-Institute for Quantum Optics, Garching	28281			0000000110118465	14780916	262304644	Q829535	grid.450272.6	Garching bei München		Germany	http://www.mpq.mpg.de/cms/mpqhome/index.html
03e76ya46	A01553	A01565	MPI Biophy Chem	Max-Planck-Institute for Biophysical Chemistry, Gottingen	28282			0000000121044211	2303003	129493419	Q836125	grid.418140.8	Göttingen		Germany	http://www.mpibpc.gwdg.de/english
0087djs12	A01553	A01566	MPI Dyn Self-Org	Max-Planck-Institute for Dynamic and Self-Organization, Gottingen	28283			0000000404915187	6867078	289922883	Q277098	grid.419514.c	Göttingen		Germany	http://www.ds.mpg.de
0095xwr23	A01553	A01567	MPI Mic Phy	Max-Planck-Institute of Microstructure Physics, Halle	28286			0000000404915558	10421112		Q1912088	grid.450270.4	Halle		Germany	https://web.archive.org/web/20070612043828/http://www.mpi-halle.mpg.de/index.html
05esem239	A01553	A01568	MPI Metr	Max-Planck-Institute for Meteorology, Hamburg	28289			0000000107214552	47000824	127891425		grid.450268.d	Hamburg		Germany	
01vhnrs90	A01553	A01570	MPIA Heidelberg	Max-Planck-Institute for Astronomy, Heidelberg	28294			000000040491677X	2773825	139636478	Q209610	grid.429508.2	Heidelberg		Germany	http://www.mpia.de/en
052d0h423	A01553	A01571	MPI Nuc Phy	Max-Planck-Institute for Nuclear Physics, Heidelberg	28297			0000000122886103	2919468	134342473	Q316653	grid.419604.e	Heidelberg		Germany	
051yxp643	A01553	A01572	MPI Biogc	Max-Planck-Institute for Biogeochemistry, Jena	28300			0000000404917318	6680136	136954801	Q1912063	grid.419500.9	Jena		Germany	http://www.bgc-jena.mpg.de
02j6gm739	A01553	A01573	MPI Sol Sys Res	Max-Planck-Institute for Solar System Research, Lindau	28301			0000000122849011	5743888	123567348	Q470648	grid.435826.e	Göttingen		Germany	http://www.mps.mpg.de
00ez2he07	A01553	A01574	MPI Math Sci	Max-Planck-Institute for Mathematics in the Sciences, Leipzig	28306											
