ROR		parent	child	short_name	canonical_name	Ringgold_id	long_name	URL	ISNI	Wikidata	Grid	?	City	State	Country
			A00585	U New Brunswick	University of New Brunswick, Canada	3427	University of New Brunswick		0000000404026152	32094	152407961	Q1112515	grid.266820.8	University of New Brunswick	Fredericton
		A00585	A00586	Dep Phy	University of New Brunswick, Department of Physics	152139	University of New Brunswick Fredericton Department of Physics		0000000403708952						
		A00585	A11747	Plan Sp Sci Ctr	University of New Brunswick, Planetary and Space Science Center	A1747									
			A00587	Colo St U	Colorado State University	3447	Colorado State University	CSU	0000000419368083	475386	155905460	Q1111640	grid.47894.36	Colorado State University	Fort Collins
02gn3zg65	A00587	A00588	Pueblo	Colorado State University, Pueblo	6759	Colorado State University - Pueblo	University of Southern Colorado	0000000122862232	1637530		Q1111515	grid.254551.2	Colorado State University Pueblo	Pueblo
		A00587	A11140	Dep Phy	Colorado State University, Department of Physics	A1140									
		A00587	A11141	Dep Atm Sci	Colorado State University, Department of Atmospheric Science	A1141									
		A00587	A13037	CIRA	Cooperative Institute for Research in the Atmosphere	A3037									
			A00589	U FL	University of Florida	3463	University of Florida	UF	0000000419368091	60611	157231387	Q501758	grid.15276.37	University of Florida	Gainesville
		A00589	A00591	Dep Aero Eng	University of Florida, Department of Mechanical and Aerospace Engineering	417677	University of Florida Department of Mechanical and Aerospace Engineering		0000000446718309						
04wnnt868	A00589	A00678	Sp Life Sci Lab	Space Life Sciences Laboratory	285989	Space Florida		0000000405518693				grid.427272.6	Space Florida	Cape Canaveral
		A00589	A11070	Dep Ast	University of Florida, Department of Astronomy	A1070									
		A00589	A11071	Dep Phy	University of Florida, Department of Physics	A1071									
			A00592	Kenyon Coll	Kenyon College, Ohio	3475	Kenyon College		0000000107195427	185536	121737996	Q1797768	grid.258533.a	Kenyon College	Gambier
			A00593	Adelphi U	Adelphi University, New York	3479	Adelphi University	AU	0000000419368112	675891	142798089	Q4682076	grid.251789.0	Adelphi University	Garden City
			A00594	UN	United Nations	3490	United Nations	UNHQ	0000000404412096						
02zt1gg83	A00594	A00595	IAEA	International Atomic Energy Agency, Vienna	17111	International Atomic Energy Agency	IAEA	0000000404038399	14984		Q41984	grid.420221.7	International Atomic Energy Agency	Vienna
		A00594	A00596	IAEA-MEL	International Atomic Energy Agency Marine Environment Labs, Monaco	124267	International Atomic Energy Agency Marine Environment Laboratories	IAEA-MEL	0000000122298475						
		A00594	A00597	UNOOSA	UN Office for Outer Space Affairs	226172	United Nations Office for Outer Space Affairs	UNOOSA	0000000404502550						
030deh410	A00594	A00598	UNESCO Delft	Institute for Water Education, Delft	84743	UNESCO-IHE Institute for Water Education	International Institute for Infrastructural Hydraulic and Environmental Engineering	0000000406245658				grid.420326.1	UNESCO-IHE Institute for Water Education	Delft
			A00599	Hobart Will Smith	Hobart and William Smith Colleges, New York	3494	Hobart and William Smith Colleges	HWS	0000000088703501	568047	129100662	Q4119316	grid.257037.4	Hobart and William Smith Colleges	Geneva
			A00600	Gettysburg Coll	Gettysburg College, Pennsylvania	3507	Gettysburg College	Pennsylvania College	0000000104817868	496690	156937336	Q1520129	grid.256322.2	Gettysburg College	Gettysburg
			A00601	Glasgow Caledonian U	Glasgow Caledonian University, UK	3525	Glasgow Caledonian University	City Campus	0000000106698188	712587	145751810	Q1353139	grid.5214.2	Glasgow Caledonian University	Glasgow
			A00602	U Glasgow	University of Glasgow, UK	3526	University of Glasgow		000000012193314X	39569	157362130	Q192775	grid.8756.c	University of Glasgow	Glasgow
		A00602	A00603	Sch Geog Ear Sci	University of Glasgow, School of Geographical and Earth Sciences	150843	University of Glasgow School of Geographical and Earth Sciences	University of Glasgow Department of Geographical and Earth Sciences	0000000404517955						
		A00602	A00604	Sch Phy Ast	University of Glasgow, School of Physics and Astronomy	150844	University of Glasgow School of Physics and Astronomy	University of Glasgow Department of Physics and Astronomy	0000000404518034						
026efkc57	A00602	A11755	SUPA	Scottish Universities Physics Alliance	A1755									
			A00605	U Strathclyde	University of Strathclyde, UK	3527	University of Strathclyde	Anderson College	0000000419368139	224318	158205915	Q1859178	grid.11984.35	University of Strathclyde	Glasgow
		A00605	A00606	Dep Phy	University of Strathclyde, Department of Physics	150721	University of Strathclyde Faculty of Science		0000000404519969						
026efkc57	A00605	A11755	SUPA	Scottish Universities Physics Alliance	A1755									
			A00607	Rowan U	Rowan University, New Jersey	3536	Rowan University		0000000088284546	859478	128298440	Q1799872	grid.262671.6	Rowan University	Glassboro
			A00608	Colo Sch Mines	Colorado School of Mines	3557	Colorado School of Mines		0000000419368155	340937	141300059	Q1111367	grid.254549.b	Colorado School of Mines	Golden
			A00609	U Gothenburg	University of Gothenburg, Sweden	3570			0000000099199582	12218	140125343	Q371522	grid.8761.8	University of Gothenburg	Gothenburg
		A00609	A00610	Dep Ear Sci	University of Gothenburg, Department of Earth Sciences	101028									
		A00609	A00611	Dep Phy	University of Gothenburg, Department of Physics	201281									
			A00612	Grambling St U	Grambling State University, Louisiana	3575	Grambling State University	GSU	000000009337380X	988998	264611432	Q5593620	grid.256545.5	Grambling State University	Grambling
			A00613	U N Dakota	University of North Dakota	3579	University of North Dakota		0000000419368163	428318	127182967	Q968559	grid.266862.e	University of North Dakota	Grand Forks
		A00613	A11113	Dep Sp Stud	University of North Dakota, Department of Space Studies	A1113									
		A00613	A11114	Dep Phy Ast	University of North Dakota, Department of Physics and Astronomy	A1114									
			A00614	Colo Mesa U	Colorado Mesa University	3580	Colorado Mesa University	CMU	0000000085441139	4437312	220708892	Q1507218	grid.419760.d	Colorado Mesa University	Grand Junction
			A00615	Dennison U	Denison University, Ohio	3595	Denison University		0000000121852366	870648	151238451	Q4493503	grid.255014.7	Denison University	Granville
			A00616	U Nrthn Colo	University of Northern Colorado	3604	University of Northern Colorado	UNC	0000000120973086	362136	123314692	Q1783608	grid.266877.a	University of Northern Colorado	Greeley
			A00617	DePauw U	DePauw University, Indiana	3608	DePauw University		000000012301338X	176419	142601373	Q1179599	grid.254921.9	DePauw University	Greencastle
			A00618	Guilford Coll	Guilford College, North Carolina	3615	Guilford College	New Garden Boarding School	0000000090272333	438070	265853246	Q5615915	grid.418344.e	Guilford College	Greensboro
			A00619	NC Agr Tech St U	North Carolina Agricultural and Technical State University	3616	North Carolina Agricultural and Technical State University	North Carolina A&T State University	000000041936818X						
			A00620	Bob Jones U	Bob Jones University, South Carolina	3624	Bob Jones University		0000000404067261	4717	138347543	Q2740389	grid.441111.0	Bob Jones University	Greenville
			A00621	E Carolina U	Eastern Carolina University, North Carolina	3627	East Carolina University	ECU	0000000121910423	89488	155788130	Q1277776	grid.255364.3	East Carolina University	Greenville
			A00622	Furman U	Furman University, South Carolina	3628	Furman University		000000010018360X	392902	139248868	Q1475020	grid.256130.3	Furman University	Greenville
			A00623	SAI Co.	Science Applications International Co.	3635	Science Applications International Corp	Applications Technology Inc	0000000099500873						
		A00623	A11201	San Diego	Science Applications International, San Diego	A1201									
			A00624	Grinnell Coll	Grinnell College, Iowa	3644	Grinnell College		0000000101975238	13104	151963847	Q2982991	grid.256592.f	Grinnell College	Grinnell
			A00625	U Groningen	University of Groningen, Netherlands	3647	Rijksuniversiteit Groningen	RUG	0000000404071981	255460	127394541	Q850730	grid.4830.f	University of Groningen	Groningen
		A00625	A00626	KVI	University of Groningen, Center for Advanced Radiation Technology	172286	Rijksuniversiteit Groningen KVI Center for Advanced Radiation Technology	Kernfysisch Versneller Instituut	0000000404380936	47000230					
		A00625	A11230	Kapteyn Ast Inst	University of Groningen, Kapteyn Astronomical Institute	A1230									
		A00625	A11232	Ctr Theo Phy	University of Groningen, Center for Theoretical Physics	A1232									
			A00627	U Guelph	University of Guelph, Canada	3653	University of Guelph	U of G	0000000419368198	9181362	125486960	Q795988	grid.34429.38	University of Guelph	Guelph
		A00627	A00628	Dep Phy	University of Guelph, Department of Physics	139148	Curran Associates Inc		0000000404358974						
		A00627	A13030	Waterloo Guelph GSP	Waterloo Guelph Physics and Astronomy Graduate Studies	A3030									
			A00629	U Surrey	University of Surrey, UK	3660	University of Surrey	Stag Hill Campus	0000000404074824	167774	154945979	Q546976	grid.5475.3	University of Surrey	Guildford
		A00629	A00630	Dep Phy	University of Surrey, Department of Physics	152137	University of Surrey Department of Physics	University of Surrey Division of Physics	0000000403708821						
03jyskd58	A00629	A11768	SEPnet	South-East Physics Network	A1768									
			A00631	Mt St Vincent U	Mount Saint Vincent University, Canada	3684	Mount Saint Vincent University		0000000121869504	20237	152364415	Q3551457	grid.260303.4	Mount Saint Vincent University	Halifax
			A00632	Dalhousie U	Dalhousie University, Canada	3688	Dalhousie University		0000000419368200	8642	127757839	Q579321	grid.55602.34	Dalhousie University	Halifax
		A00632	A00633	Dep Ear Sci	Dalhousie University, Canada, Department of Earth Sciences	152954	Dalhousie University Department of Earth Sciences		0000000403760371						
		A00632	A11737	Dep Phy Ast	Dalhousie University, Canada, Department of Physics and Atmospheric Sciences	A1737									
			A00634	St Marys U	Saint Marys University, Canada	3690	Saint Mary's University		0000000419368219	4344236		Q2212977	grid.412362.0	Saint Mary's University	Halifax
		A00634	A11738	Dep Phy Ast	Saint Marys University, Canada, Department of Astronomy and Physics	A1738									
			A00635	McMaster U	McMaster University, Canada	3710	McMaster University		0000000419368227	342555	159435770	Q632891	grid.25073.33	McMaster University	Hamilton
		A00635	A00636	Dep Ear Sci	McMaster University, Department of Earth Sciences	152956	McMaster University School of Geography and Earth Sciences		0000000403760515						
		A00635	A00637	Dep Phy Ast	McMaster University, Department of Physics and Astronomy	153013	McMaster University Department of Physics and Astronomy		0000000403765113						
			A00638	U Waikato	University of Waikato, New Zealand	3717	University of Waikato	Te Whare Pukapuka	0000000404083579	239210	143066413	Q606140	grid.49481.30	University of Waikato	Hamilton
			A00639	Colgate U	Colgate University, New York	3719	Colgate University	CU	000000012109725X	287967		Q1191335	grid.254361.7	Colgate University	Hamilton
			A00640	SE Louisiana U	Southeastern Louisiana University	3722	Southeastern Louisiana University		0000000122244282	523233	144025460	Q615998	grid.263831.d	Southeastern Louisiana University	Hammond
			A00641	Hampden-Sydney Coll	Hampden-Sydney College, Virginia	3723	Hampden-Sydney College	H SC	0000000104267392	1046291		Q1797609	grid.256771.0	Hampden–Sydney College	Hampden Sydney
			A00642	Hampton U	Hampton University, Virginia	3726	Hampton University	Hampton Institute	0000000123223563	1359774	151342357	Q1797817	grid.256774.5	Hampton University	Hampton
		A00642	A11809	Dep Atm Plan Sci	Hampton University, Department of Atmospheric and Planetary Science	A1809									
			A00643	Dartmouth Coll	Dartmouth College, New Hampshire	3728	Dartmouth College		0000000121792404	8418	133612333	Q49116	grid.254880.3	Dartmouth College	Hanover
		A00643	A00644	Thayer Sch Eng	Dartmouth College, Thayer School of Engineering	145792	Thayer School of Engineering at Dartmouth		0000000404085312						
		A00643	A11003	Dep Phy Ast	Dartmouth College, Department of Physics and Astronomy	A1003									
			A00645	James Madison U	James Madison University, Virginia	3745	James Madison University	JMU	000000012179395X	16079	262141622	Q258943	grid.258041.a	James Madison University	Harrisonburg
			A00646	Trinity Coll CT	Trinity College, Hartford, CT	3757	Trinity College	Washington College	0000000419368235				grid.265158.d	Trinity College	Hartford
			A00647	U Hertfordshire	University of Hertfordshire, UK	3769	University of Hertfordshire	College Lane Campus	0000000121619644	503360	133860129	Q1745633	grid.5846.f	University of Hertfordshire	Hatfield
		A00647	A00648	Sch Phy Ast Math	University of Hertfordshire, School of Physics, Astronomy and Mathematics	322401	University of Hertfordshire School of Physics Astronomy and Mathematics		0000000405280574						
03jyskd58	A00647	A11768	SEPnet	South-East Physics Network	A1768									
			A00649	Haverford Coll	Haverford College, Pennsylvania	3776	Haverford College		0000000122157365	170686	125160105	Q579611	grid.256868.7	Haverford College	Philadelphia
			A00650	Swinburne U Tech	Swinburne University of Technology, Australia	3783	Swinburne University of Technology	Prahran College of Advanced Education	0000000404092862	247041	145917740	Q787234	grid.1027.4	Swinburne University of Technology	Melbourne
		A00650	A11661	CAASTRO	Center for Excellence for All Sky Astrophysics	A1661									
		A00650	A11668	Ctr Ast Supercomp	Swinburne University of Technology, Center for Astrophysics and Supercomputing	A1668									
			A00651	U Helsinki	University of Helsinki, Finland	3835	Helsingin Yliopisto	Helsingfors Universitet	0000000404102071	220548	136043487	Q28695	grid.7737.4	University of Helsinki	Helsinki
		A00651	A00652	Fac Sci	University of Helsinki, Faculty of Science	111628	Helsingin yliopisto Matemaattis-luonnontieteellinen tiedekunta	University of Helsinki Faculty of Science	0000000403886716						
		A00651	A00653	Dep Phy	University of Helsinki, Department of Physics	357318	Helsingin yliopisto Fysiikan laitos	University of Helsinki Department of Physics	0000000405648340						
		A00651	A13000	Obs	Helsinki University Observatory	A3000									
			A00654	KTL	National Public Health Institute, Finland	3837	Terveyden ja hyvinvoinnin laitos	Forsknings- och utvecklingscentralen för social- och hälsovården	0000000110130499				grid.14758.3f	National Institute for Health and Welfare	Helsinki
			A00655	Hofstra U	Hofstra University, New York	3871	Hofstra University		0000000122849943	418091	124325380	Q1623314	grid.257060.6	Hofstra University	Hempstead
			A00656	High Point U	High Point University, North Carolina	3888	High Point University	High Point College	0000000099028484	1388842	125818545	Q5756235	grid.256969.7	High Point University	High Point
			A00657	Brunel U	Brunel University, UK	3890	Brunel University	Bannerman Centre	0000000107246933	155199	140052663	Q932411	grid.7728.a	Brunel University London	Uxbridge
			A00658	Nrthn KY U	Northern Kentucky University	3897	Northern Kentucky University	NKU	000000012180142X	910732	147721862	Q2001033	grid.261132.5	Northern Kentucky University	Highland Heights
			A00659	Hillsdale Coll	Hillsdale College, Michigan	3904	Hillsdale College	Michigan Central College	0000000103307452	207199	262229257	Q5763774	grid.431641.5	Hillsdale College	Hillsdale
			A00660	Hiram Coll	Hiram College, Ohio	3914	Hiram College		0000000107024898	40289	147845518	Q5769100	grid.257013.2	Hiram College	Hiram
			A00661	U Tasmania	University of Tasmania, Australia	3925	University of Tasmania		000000041936826X	601288	125327305	Q962011	grid.1009.8	University of Tasmania	Hobart
		A00661	A11658	Sch Math Phy	University of Tasmania, School of Mathematics and Physics	A1658									
		A00661	A11659	CODES	Center of Excellence in Ore Deposits	A1659									
		A00661	A11660	ACECRC	Antarctic Climate and Ecosystems Cooperative Research Center	A1660									
		A00661	A11705	CoECSS	Center of Excellence for Climate System Science	A1705									
			A00662	Hope Coll	Hope College, Michigan	3930	Hope College		000000012222680X	362488	265969358	Q2475371	grid.257108.9	Hope College	Holland
			A00663	U HI	University of Hawaii System	3939	University of Hawaii System		0000000114821895	194710	134787878	Q217439	grid.162346.4	University of Hawaii System	Honolulu
			A00664	HI Pac U	Hawaii Pacific University	3948	Hawaii Pacific University	HPU	0000000087410387	731005	126864150	Q1591615	grid.256872.c	Hawaii Pacific University	Honolulu
			A00665	Manoa	University of Hawaii, Manoa	3949	University of Hawai'i at Manoa	UH Manoa	0000000121880957	646743		Q2000129	grid.410445.0	University of Hawaii at Manoa	Honolulu
		A00665	A00666	SOEST	University of Hawaii, Manoa, School of Earth and Ocean Sciences	124316	University of Hawai'i at Manoa School of Ocean and Earth Science and Technology	SOEST	0000000106837782						
		A00665	A00667	IFA	University of Hawaii, Manoa, Institute for Astronomy	124317	University of Hawai'i at Manoa Institute for Astronomy		0000000404065653						
03tzaeb71	A00665	A00668	Mauna Kea Obs	University of Hawaii, Mauna Kea Observatory	325745	Mauna Kea Observatory		0000000405553034	267376		Q831790	grid.162346.4	University of Hawaii System	Honolulu
05xq4gr47	A00665	A00669	CFHT	Canada-France-Hawaii Telescope	53737	Canada-France-Hawaii Telescope	CFHT	0000000406013064						
		A00665	A11227	Dep Phy Ast	University of Hawaii, Manoa, Department of Physics and Astronomy	A1227									
		A00665	A11229	IRTF	Infrared Telescope Facility	A1229									
			A00670	MI Tech U	Michigan Technological University	3968	Michigan Technological University	Michigan Tech	0000000106635937	45893	150627130	Q12432	grid.259979.9	Michigan Technological University	Houghton
		A00670	A11077	Dep Phy	Michigan Technological University, Department of Physics	A1077									
			A00671	Bristol Myers	Bristol Myers Squibb Company	3971	Bristol-Myers Squibb Co	Amira Pharmaceuticals Inc	0000000404413515	496995		Q266423	grid.419971.3	Bristol-Myers Squibb (United States)	New York
			A00672	BAUP	Benemerita Autonomous University of Puebla, Mexico	3972			0000000121122750	10273182		Q495032	grid.411659.e	Benemérita Universidad Autónoma de Puebla	Puebla City
		A00672	A00673	Fac Phy Mat	Benemerita Autonomous University of Puebla, Faculty of Physics and Mathematics, Mexico	191086									
			A00674	Rice U	Rice University, Texas	3990	Rice University		0000000419368278				grid.21940.3e	Rice University	Houston
		A00674	A11138	Dep Phy Ast	Rice University, Department of Physics and Astronomy	A1138									
		A00674	A11139	Dep Ear Sci	Rice University, Department of Earth Science	A1139									
			A00675	TX Sthrn U	Texas Southern University	3991	Texas Southern University	TSU	0000000121736488	543894	143035436	Q626591	grid.264771.1	Texas Southern University	Houston
			A00676	NASA	NASA HQ	3997	NASA	National Aeronautics and Space Administration	0000000114567559	18426568	146202023	Q23548	grid.238252.c	National Aeronautics and Space Administration	Washington D.C.
01cyfxe35	A00676	A00948	GISS	Goddard Institute for Space Studies	97058	Goddard Institute for Space Studies		0000000122849855	1230470		Q422272	grid.419078.3	Goddard Institute for Space Studies	New York
01s3dpm97	A00676	A00677	NSSTC	NASA National Space Science and Technology Center	226557	National Space Science and Technology Center	NSSTC	0000000404526499	19852520		Q6978623	grid.462618.f	National Space Science and Technology Center	Huntsville
04wnnt868	A00676	A00678	SLPSRA	NASA Space Life and Physical Sciences Research and Applications Laboratory	285989	Space Florida		0000000405518693				grid.427272.6	Space Florida	Cape Canaveral
			A00680	NASA JSC	NASA Johnson Space Center	43834	NASA Johnson Space Center	NASA Lyndon B Johnson Space Center	0000000406132864	177571	155896317	Q208371	grid.419085.1	Johnson Space Center	Houston
			A00681	NASA Ames	NASA Ames Research Center	53406	NASA Ames Research Center		0000000119557990	47477	131341285	Q181052	grid.419075.e	Ames Research Center	Mountain View
			A00682	NASA JFK Sp Ctr	NASA John F. Kennedy Space Center	53410	NASA John F Kennedy Space Center		0000000108454769	16421	144777016	Q48821	grid.419743.c	Kennedy Space Center	Merritt Island
			A00684	NASA John Glenn	NASA John H. Glenn Research Center	53522	NASA John H Glenn Research Center	NASA Lewis Research Center	0000000406376607	369671	155061179	Q618728	grid.419077.c	Glenn Research Center	Cleveland
			A00685	NASA Langley	NASA Langley Research Center	53524	NASA Langley Research Center		0000000406376754	337034	127305149	Q618731	grid.419086.2	Langley Research Center	Hampton
			A00686	NASA MSFC	NASA Marshall Space Flight Center	53525	NASA Marshall Space Flight Center	NASA MSFC	0000000122384912	113053	134172137	Q618696	grid.419091.4	Marshall Space Flight Center	Redstone Arsenal
			A00687	NASA Stennis	NASA Stennis Space Center	53526	NASA John C Stennis Space Center	Stennis Space Center	0000000093478492	690479	140837097	Q618717	grid.419657.8	Stennis Space Center	Bay Saint Louis
			A00688	NASA Wallops	NASA Wallops Flight Facility	97057	Wallops Flight Facility	WFF	0000000090029106				grid.456000.7	Wallops Flight Facility	Chincoteague
		A00676	A13069	CIMSS	Cooperative Institute for Meteorological Satellite Studies	A3069									
			A00690	U Hull	University of Hull, UK	4019	University of Hull	University of Hull PGMI	0000000404128669	556979	130973783	Q1474019	grid.9481.4	University of Hull	Hull
			A00691	Lockheed Martin	Lockheed Martin Corporation	4036	Lockheed Martin Corp	American-Marietta Corp	0000000106245920	66527		Q7240	grid.419474.b	Lockheed Martin (United States)	Bethesda
		A00691	A00692	Palo Alto	Lockheed Martin, Palo Alto	325340	Lockheed Martin Space Systems		0000000405517236						
		A00691	A00693	Denver	Lockheed Martin, Denver	61837	Lockheed Martin Space Systems Co		0000000406344832						
		A00691	A11225	Houston	Lockheed Martin, Houston	A1225									
			A00694	Sam Houston St U	Sam Houston State University, Texas	4038	Sam Houston State University		0000000122911903	639967	151255957	Q1422594	grid.263046.5	Sam Houston State University	Huntsville
			A00695	Butler U	Butler University, Indiana	4065	Butler University		0000000419368286						
			A00696	U Iowa	University of Iowa	4083	University of Iowa		0000000419368294	241119	142738025	Q182973	grid.214572.7	University of Iowa	Iowa City
		A00696	A11111	Dep Phy Ast	University of Iowa, Department of Physics and Astronomy	A1111									
			A00697	ExxonMobil	ExxonMobil Corporation	4095	ExxonMobil Corp		0000000404138373						
00bve7358	A00697	A00698	Imperial Oil	Imperial Oil Ltd	7952	Imperial Oil Ltd	Compagnie Petroliere Imperiale Limitee	000000040473639X				grid.292516.b	Imperial Oil (Canada)	Calgary
			A00699	Ithaca Coll	Ithaca College, New York	4102	Ithaca College	IC	0000000096080631	15446	141866920	Q3540690	grid.257949.4	Ithaca College	Ithaca
			A00700	Jackson St U	Jackson State University	4114	Jackson State University	Jackson College	0000000106718898	217170	149889111	Q1747601	grid.257990.0	Jackson State University	Jackson
			A00701	U N Fl	University of North Florida	4127	University of North Florida	UNF	0000000121094358	853831	127237737	Q1473796	grid.266865.9	University of North Florida	Jacksonville
			A00702	E TN St U	East Tennessee State University	4154	East Tennessee State University	ETSU	0000000121801673	648232	147741847	Q634669	grid.255381.8	East Tennessee State University	Johnson City
			A00703	DuPont	EI Dupont Nemours Corporation	4156	EI Dupont de Nemours and Co	Dupont	0000000404852374	201829		Q221062	grid.416832.a	DuPont (United States)	Wilmington
			A00704	U Jyvaskyla	University of Jyvaskyla, Finland	4168	Jyvaskylan Yliopisto	University of Jyvaskyla	0000000110137965				grid.9681.6	University of Jyväskylä	Jyvaskyla
		A00704	A00705	Dep Phy	University of Jyvaskyla, Department of Physics	154279									
			A00706	Kalamazoo Coll	Kalamazoo College, Michigan	4174	Kalamazoo College		0000000089167296	55248	129880670	Q6350383	grid.258346.e	Kalamazoo College	Kalamazoo
			A00707	W MI U	Western Michigan University	4175	Western Michigan University	WMU	0000000106721122	161724	150587044	Q1546191	grid.268187.2	Western Michigan University	Kalamazoo
			A00708	Linnaeus U Kalmar	Linnaeus University, Kalmar, Sweden	4180			0000000121743522	22179772	143652637	Q1751928	grid.8148.5	Linnaeus University	Kalmar
			A00709	Rockhurst U	Rockhurst University, Missouri	4194	Rockhurst University		0000000091574448	346949	134030324	Q5594651	grid.262620.2	Rockhurst University	Kansas City
			A00710	U Kansas	University of Kansas	4202	University of Kansas	KU	0000000121060692	163327	123827388	Q52413	grid.266515.3	University of Kansas	Lawrence
		A00710	A00711	Kansas Geo Surv	University of Kansas, Kansas Geological Survey	273886	Kansas Geological Survey		0000000404951989						
		A00710	A11107	Dep Phy Ast	University of Kansas, Department of Physics and Astronomy	A1107									
			A00712	Karlstad U	Karlstad University, Sweden	4209	Karlstads Universitet	Karlstad University	0000000107211351	216964	125760540	Q1858061	grid.20258.3d	Karlstad University	Karlstad
			A00713	Keele U	Keele University, UK	4212	Keele University	University College of North Staffordshire	0000000404156205	228606	139522801	Q1737734	grid.9757.c	Keele University	Newcastle-under-Lyme
		A00713	A00714	Sch Geog Geo Env	Keele University, School of Geography, Geology and the Environment	218230	Keele University Department of Geography Geology and the Environment	Keele University Department of Earth Sciences and Geography	0000000404695030						
		A00713	A00715	Dep Phy Astrop	Keele University, Department of Physics and Astrophysics	218232	Keele University Department of Physics and Astrophysics		0000000404695129						
			A00716	Carthage Coll	Carthage College, Wisconsin	4224	Carthage College	Hillsboro College	000000012151907X	176750	125476316	Q558922	grid.257310.2	Illinois State University	Normal
			A00717	Kent St U	Kent State University, Ohio	4229	Kent State University	KSU	0000000419368323				grid.448727.a	Kent State University at Ashtabula	Ashtabula
			A00718	Austr Antarc Div	Australian Antarctic Division	4251	Australian Antarctic Division		0000000404160263	198126	131674485	Q781331	grid.1047.2	Australian Antarctic Division	Hobart
			A00719	Queens U Can	Queens University, Canada	4257	Queen's University		0000000419368331	7955551	149706703	Q1420038	grid.410356.5	Queen's University	Kingston
		A00719	A11744	Dep Phy Ast	Queens University, Department of Physics and Astronomy	A1744									
			A00720	URI	University of Rhode Island	4260	University of Rhode Island	URI	0000000404162242	15206116	125408274	Q1641788	grid.20431.34	University of Rhode Island	Kingston
			A00721	Kingston U	Kingston University, UK	4264	Kingston University	Kingston Polytechnic	0000000105363773	41137348	156125405	Q2503809	grid.15538.3a	Kingston University	Kingston
			A00722	U TN	University of Tennessee	4285			0000000123151184				grid.411461.7	University of Tennessee at Knoxville	Knoxville
00nqb1v70	A00722	A00723	Chattanooga	University of Tennessee, Chattanooga	14733	University of Tennessee at Chattanooga	Grayson H Walker Teaching Resource Center	0000000093381949	995545	137199566	Q1781384	grid.267303.3	University of Tennessee at Chattanooga	Chattanooga
01244fm76	A00722	A00724	Martin	University of Tennessee, Martin	14734	University of Tennessee at Martin	UT Martin	0000000123005312	638599	167834274	Q1566138	grid.267304.4	University of Tennessee at Martin	Martin
		A00722	A00725	Dep Ear Plan Sci	University of Tennessee, Department of Earth and Planetary Sciences	271625									
		A00722	A00726	Dep Phy Ast	University of Tennessee, Department of Physics and Astronomy	312342									
020f3ap87	A00722	A00727	Sp Inst	University of Tennessee, Space Institute	83490	University of Tennessee Space Institute		0000000104905980	1902674	157095180	Q7896423	grid.411461.7	University of Tennessee at Knoxville	Knoxville
			A00728	U Copenhagen	University of Copenhagen, Denmark	4321			000000010674042X				grid.5254.6	University of Copenhagen	Copenhagen
		A00728	A00729	Geo Mus	University of Copenhagen, Geological Museum	111186	Statens Naturhistoriske Museum Geologisk Museum	Natural History Museum of Denmark Geological Museum	0000000403856453						
		A00728	A00730	Niels Bohr Inst	Niels Bohr Institute for Astronomy, Physics and Geophysics	56602									
0166x0j30	A00728	A00731	Nat Hist Mus	University of Copenhagen, Natural History Museum	87001			0000000123723664				grid.480655.a	Natural History Museum	Aarhus
			A00732	U Sydney	University of Sydney, Australia	4334	University of Sydney		000000041936834X	31928		Q487556	grid.1013.3	University of Sydney	Sydney
		A00732	A00733	Dep Phy	University of Sydney, Department of Physics	144899	University of Sydney School of Physics		0000000404025037	25291276	261903528	Q7896394			
		A00732	A00734	Dep Geos	University of Sydney, Department of Geosciences	150706	University of Sydney School of Geosciences		0000000404511190						
		A00732	A11661	CAASTRO	Center for Excellence for All Sky Astrophysics	A1661									
		A00732	A11666	Dep Ast	University of Sydney, Department of Astronomy	A1666									
		A00732	A11679	Cornell Sydney U	Cornell Sydney University	A1679									
		A00732	A11717	CoEPP	Center of Excellence for Particle Physics at the Terascale	A1717									
		A00732	A11720	CQC2T	Center for Quantum Computation and Communication Technology	A1720									
			A00735	Mayo Clinic	Mayo Clinic, Minnesota	4352	Mayo Clinic Minnesota	Mayo Clinic	000000040459167X	160843		Q1130172	grid.66875.3a	Mayo Clinic	Rochester
			A00736	U Louisiana	University of Louisiana	4365	University of Louisiana at Lafayette	University of Southwestern Louisiana	0000000121886806						
			A00737	Lake Forest Coll	Lake Forest College, Illinois	4377	Lake Forest College		0000000122224564	10477265	267809032	Q6475861	grid.258894.a	Lake Forest College	Lake Forest
			A00738	CCU	Colorado Christian University	4388	Colorado Christian University	CCU	0000000404180870	4406693		Q5148756	grid.441158.d	Colorado Christian University	Lakewood
			A00739	Lancaster U	Lancaster University, UK	4396	Lancaster University		0000000121813439						
		A00739	A00740	Dep Env Sci	Lancaster University, Department of Environmental Science	151562	Lancaster University Department of Environmental Science		0000000403678394						
		A00739	A00741	Dep Phy	Lancaster University, Department of Physics	151566	Lancaster University Department of Physics		0000000403678554						
			A00742	Franklin Marshall	Franklin and Marshall College, Pennsylvania	4400	Franklin and Marshall College	F&M	0000000121628305	2163518	266253174	Q664881	grid.256069.e	Franklin & Marshall College	Lancaster
			A00743	Trinity West U	Trinity Western University, Canada	4402	Trinity Western University		0000000090628563	877590	132451804	Q6569551	grid.265179.e	Trinity Western University	Langley
